 cell(13.7005 6.05090 15.17890 90 103.1550, 90) mers=(1,2,1)
2-(2-phenylethyl)benzoic acid (from cif file 2206537.cif)

C       8.44500      2.80340     15.62010
C       6.15050      2.08940     11.50550
C       7.73180      3.59000     14.69280
C       7.58380      3.28500     13.22330
H       8.39980      2.87360     12.89610
H       7.44830      4.11160     12.73490
C       7.10660      5.07970     16.51880
H       6.66200      5.84340     16.80850
C       7.80530      4.29800     17.41180
H       7.82970      4.52610     18.31310
C       9.20480      1.58780     15.23060
C       8.46520      3.18160     16.96570
H       8.93820      2.66180     17.57410
C       6.40400      2.34590     12.96770
H       6.57390      1.49940     13.41040
H       5.60540      2.73020     13.36310
C       6.67780      0.99300     10.85320
H       7.22200      0.40360     11.32340
C       5.37070      2.95590     10.75860
H       5.01990      3.71710     11.16080
C       7.07420      4.71670     15.18960
H       6.59280      5.24610     14.59580
C       5.10510      2.70900      9.42900
H       4.56980      3.29830      8.94820
C       6.41810      0.74970      9.52480
H       6.78450      0.00240      9.10930
C       5.62220      1.60470      8.81260
H       5.43530      1.43650      7.91800
O       9.16670      1.08900     14.09830
O       9.93410      1.05890     16.17840
H      10.43360      0.21780     15.85360
C       0.07370      5.82880      6.55080
C       2.36820      5.11480     10.66540
C       0.78700      6.61540      7.47810
C       0.93490      6.31050      8.94760
H       0.11890      5.89900      9.27480
H       1.07040      7.13700      9.43590
C       1.41210      8.10520      5.65210
H       1.85670      8.86880      5.36240
C       0.71340      7.32340      4.75900
H       0.68900      7.55150      3.85770
C      -0.68600      4.61320      6.94020
C       0.05350      6.20700      5.20510
H      -0.41950      5.68720      4.59680
C       2.11470      5.37140      9.20310
H       1.94480      4.52490      8.76040
H       2.91340      5.75560      8.80770
C       1.84090      4.01840     11.31760
H       1.29680      3.42900     10.84750
C       3.14810      5.98130     11.41220
H       3.49880      6.74250     11.01010
C       1.44450      7.74210      6.98130
H       1.92600      8.27160      7.57500
C       3.41370      5.73440     12.74190
H       3.94890      6.32380     13.22270
C       2.10070      3.77520     12.64610
H       1.73420      3.02790     13.06160
C       2.89660      4.63010     13.35820
H       3.08340      4.46190     14.25290
O      -0.64790      4.11440      8.07260
O      -1.41540      4.08440      5.99250
H      -1.91490      3.24330      6.31720
C       1.80100      3.24750     -0.83950
C       4.09550      3.96150      3.27510
C       2.51420      2.46090      0.08780
C       2.66220      2.76590      1.55730
H       1.84620      3.17730      1.88450
H       2.79770      1.93930      2.04560
C       3.13940      0.97120     -1.73820
H       3.58400      0.20750     -2.02790
C       2.44070      1.75290     -2.63120
H       2.41630      1.52480     -3.53260
C       1.04120      4.46310     -0.45010
C       1.78080      2.86930     -2.18520
H       1.30780      3.38910     -2.79350
C       3.84200      3.70500      1.81280
H       3.67210      4.55150      1.37020
H       4.64060      3.32070      1.41750
C       3.56820      5.05790      3.92730
H       3.02400      5.64730      3.45720
C       4.87530      3.09500      4.02190
H       5.22610      2.33380      3.61980
C       3.17180      1.33420     -0.40900
H       3.65320      0.80480      0.18480
C       5.14090      3.34190      5.35160
H       5.67620      2.75260      5.83240
C       3.82790      5.30120      5.25580
H       3.46150      6.04850      5.67130
C       4.62380      4.44620      5.96800
H       4.81060      4.61440      6.86260
O       1.07930      4.96190      0.68230
O       0.31190      4.99200     -1.39780
H      -0.18760      5.83310     -1.07310
C      10.17230      0.22210      8.22980
C       7.87780      0.93610      4.11520
C       9.45900     -0.56450      7.30250
C       9.31100     -0.25960      5.83300
H      10.12710      0.15190      5.50580
H       9.17560     -1.08610      5.34470
C       8.83390     -2.05430      9.12850
H       8.38930     -2.81790      9.41820
C       9.53250     -1.27250     10.02150
H       9.55700     -1.50060     10.92280
C      10.93200      1.43770      7.84040
C      10.19250     -0.15610      9.57540
H      10.66550      0.36370     10.18380
C       8.13130      0.67950      5.57740
H       8.30120      1.52600      6.02010
H       7.33260      0.29530      5.97280
C       8.40510      2.03250      3.46290
H       8.94920      2.62190      3.93310
C       7.09790      0.06960      3.36830
H       6.74720     -0.69160      3.77050
C       8.80150     -1.69120      7.79930
H       8.32000     -2.22070      7.20550
C       6.83230      0.31650      2.03870
H       6.29710     -0.27290      1.55790
C       8.14530      2.27570      2.13450
H       8.51180      3.02300      1.71900
C       7.34940      1.42080      1.42230
H       7.16260      1.58900      0.52770
O      10.89390      1.93650      6.70800
O      11.66140      1.96650      8.78810
H      12.16090      2.80760      8.46340


