TV=(4.686, 5.572, 5.572) 
Use of a two by two by two cluster of unit cells and the primitive translation distances

  C     0.00000000 +1   0.00000000 +1   0.00000000 +1
  O     0.00000000 +1   0.00000000 +1   1.25800000 +1 
  N    -0.81100000 +1  -0.81100000 +1  -0.70100000 +1
  H    -1.43300000 +1  -1.43300000 +1  -0.21400000 +1
  H    -0.79800000 +1  -0.79800000 +1  -1.72300000 +1
  C    -2.78600000 +1  -2.78600000 +1  -3.06000000 +1
  O    -2.78600000 +1  -2.78600000 +1  -4.31800000 +1
  N    -1.97500000 +1  -3.59700000 +1  -2.35900000 +1
  H    -1.35300000 +1  -4.21900000 +1  -2.84600000 +1
  H    -1.98800000 +1  -3.58400000 +1  -1.33700000 +1
  N     0.81100000 +1   0.81100000 +1  -0.70100000 +1
  H     1.43300000 +1   1.43300000 +1  -0.21400000 +1
  H     0.79800000 +1   0.79800000 +1  -1.72300000 +1
  N    -3.59700000 +1  -1.97500000 +1  -2.35900000 +1
  H    -4.21900000 +1  -1.35300000 +1  -2.84600000 +1
  H    -3.58400000 +1  -1.98800000 +1  -1.33700000 +1
  C     0.00000000 +1   0.00000000 +1   4.68600000 +1
  O     0.00000000 +1   0.00000000 +1   5.94400000 +1
  N    -0.81100000 +1  -0.81100000 +1   3.98500000 +1
  H    -1.43300000 +1  -1.43300000 +1   4.47200000 +1
  H    -0.79800000 +1  -0.79800000 +1   2.96300000 +1
  C    -2.78600000 +1  -2.78600000 +1   1.62600000 +1
  O    -2.78600000 +1  -2.78600000 +1   0.36800000 +1
  N    -1.97500000 +1  -3.59700000 +1   2.32700000 +1
  H    -1.35300000 +1  -4.21900000 +1   1.84000000 +1
  H    -1.98800000 +1  -3.58400000 +1   3.34900000 +1
  N     0.81100000 +1   0.81100000 +1   3.98500000 +1
  H     1.43300000 +1   1.43300000 +1   4.47200000 +1
  H     0.79800000 +1   0.79800000 +1   2.96300000 +1
  N    -3.59700000 +1  -1.97500000 +1   2.32700000 +1
  H    -4.21900000 +1  -1.35300000 +1   1.84000000 +1
  H    -3.58400000 +1  -1.98800000 +1   3.34900000 +1
  C     0.00000000 +1   5.57200000 +1   0.00000000 +1
  O     0.00000000 +1   5.57200000 +1   1.25800000 +1
  N    -0.81100000 +1   4.76100000 +1  -0.70100000 +1
  H    -1.43300000 +1   4.13900000 +1  -0.21400000 +1
  H    -0.79800000 +1   4.77400000 +1  -1.72300000 +1
  C    -2.78600000 +1   2.78600000 +1  -3.06000000 +1
  O    -2.78600000 +1   2.78600000 +1  -4.31800000 +1
  N    -1.97500000 +1   1.97500000 +1  -2.35900000 +1
  H    -1.35300000 +1   1.35300000 +1  -2.84600000 +1
  H    -1.98800000 +1   1.98800000 +1  -1.33700000 +1
  N     0.81100000 +1   6.38300000 +1  -0.70100000 +1
  H     1.43300000 +1   7.00500000 +1  -0.21400000 +1
  H     0.79800000 +1   6.37000000 +1  -1.72300000 +1
  N    -3.59700000 +1   3.59700000 +1  -2.35900000 +1
  H    -4.21900000 +1   4.21900000 +1  -2.84600000 +1
  H    -3.58400000 +1   3.58400000 +1  -1.33700000 +1
  C     0.00000000 +1   5.57200000 +1   4.68600000 +1
  O     0.00000000 +1   5.57200000 +1   5.94400000 +1
  N    -0.81100000 +1   4.76100000 +1   3.98500000 +1
  H    -1.43300000 +1   4.13900000 +1   4.47200000 +1
  H    -0.79800000 +1   4.77400000 +1   2.96300000 +1
  C    -2.78600000 +1   2.78600000 +1   1.62600000 +1
  O    -2.78600000 +1   2.78600000 +1   0.36800000 +1
  N    -1.97500000 +1   1.97500000 +1   2.32700000 +1
  H    -1.35300000 +1   1.35300000 +1   1.84000000 +1
  H    -1.98800000 +1   1.98800000 +1   3.34900000 +1
  N     0.81100000 +1   6.38300000 +1   3.98500000 +1
  H     1.43300000 +1   7.00500000 +1   4.47200000 +1
  H     0.79800000 +1   6.37000000 +1   2.96300000 +1
  N    -3.59700000 +1   3.59700000 +1   2.32700000 +1
  H    -4.21900000 +1   4.21900000 +1   1.84000000 +1
  H    -3.58400000 +1   3.58400000 +1   3.34900000 +1
  C     5.57200000 +1   0.00000000 +1   0.00000000 +1
  O     5.57200000 +1   0.00000000 +1   1.25800000 +1
  N     4.76100000 +1  -0.81100000 +1  -0.70100000 +1
  H     4.13900000 +1  -1.43300000 +1  -0.21400000 +1
  H     4.77400000 +1  -0.79800000 +1  -1.72300000 +1
  C     2.78600000 +1  -2.78600000 +1  -3.06000000 +1
  O     2.78600000 +1  -2.78600000 +1  -4.31800000 +1
  N     3.59700000 +1  -3.59700000 +1  -2.35900000 +1
  H     4.21900000 +1  -4.21900000 +1  -2.84600000 +1
  H     3.58400000 +1  -3.58400000 +1  -1.33700000 +1
  N     6.38300000 +1   0.81100000 +1  -0.70100000 +1
  H     7.00500000 +1   1.43300000 +1  -0.21400000 +1
  H     6.37000000 +1   0.79800000 +1  -1.72300000 +1
  N     1.97500000 +1  -1.97500000 +1  -2.35900000 +1
  H     1.35300000 +1  -1.35300000 +1  -2.84600000 +1
  H     1.98800000 +1  -1.98800000 +1  -1.33700000 +1
  C     5.57200000 +1   0.00000000 +1   4.68600000 +1
  O     5.57200000 +1   0.00000000 +1   5.94400000 +1
  N     4.76100000 +1  -0.81100000 +1   3.98500000 +1
  H     4.13900000 +1  -1.43300000 +1   4.47200000 +1
  H     4.77400000 +1  -0.79800000 +1   2.96300000 +1
  C     2.78600000 +1  -2.78600000 +1   1.62600000 +1
  O     2.78600000 +1  -2.78600000 +1   0.36800000 +1
  N     3.59700000 +1  -3.59700000 +1   2.32700000 +1
  H     4.21900000 +1  -4.21900000 +1   1.84000000 +1
  H     3.58400000 +1  -3.58400000 +1   3.34900000 +1
  N     6.38300000 +1   0.81100000 +1   3.98500000 +1
  H     7.00500000 +1   1.43300000 +1   4.47200000 +1
  H     6.37000000 +1   0.79800000 +1   2.96300000 +1
  N     1.97500000 +1  -1.97500000 +1   2.32700000 +1
  H     1.35300000 +1  -1.35300000 +1   1.84000000 +1
  H     1.98800000 +1  -1.98800000 +1   3.34900000 +1
  C     5.57200000 +1   5.57200000 +1   0.00000000 +1
  O     5.57200000 +1   5.57200000 +1   1.25800000 +1
  N     4.76100000 +1   4.76100000 +1  -0.70100000 +1
  H     4.13900000 +1   4.13900000 +1  -0.21400000 +1
  H     4.77400000 +1   4.77400000 +1  -1.72300000 +1
  C     2.78600000 +1   2.78600000 +1  -3.06000000 +1
  O     2.78600000 +1   2.78600000 +1  -4.31800000 +1
  N     3.59700000 +1   1.97500000 +1  -2.35900000 +1
  H     4.21900000 +1   1.35300000 +1  -2.84600000 +1
  H     3.58400000 +1   1.98800000 +1  -1.33700000 +1
  N     6.38300000 +1   6.38300000 +1  -0.70100000 +1
  H     7.00500000 +1   7.00500000 +1  -0.21400000 +1
  H     6.37000000 +1   6.37000000 +1  -1.72300000 +1
  N     1.97500000 +1   3.59700000 +1  -2.35900000 +1
  H     1.35300000 +1   4.21900000 +1  -2.84600000 +1
  H     1.98800000 +1   3.58400000 +1  -1.33700000 +1
  C     5.57200000 +1   5.57200000 +1   4.68600000 +1
  O     5.57200000 +1   5.57200000 +1   5.94400000 +1
  N     4.76100000 +1   4.76100000 +1   3.98500000 +1
  H     4.13900000 +1   4.13900000 +1   4.47200000 +1
  H     4.77400000 +1   4.77400000 +1   2.96300000 +1
  C     2.78600000 +1   2.78600000 +1   1.62600000 +1
  O     2.78600000 +1   2.78600000 +1   0.36800000 +1
  N     3.59700000 +1   1.97500000 +1   2.32700000 +1
  H     4.21900000 +1   1.35300000 +1   1.84000000 +1
  H     3.58400000 +1   1.98800000 +1   3.34900000 +1
  N     6.38300000 +1   6.38300000 +1   3.98500000 +1
  H     7.00500000 +1   7.00500000 +1   4.47200000 +1
  H     6.37000000 +1   6.37000000 +1   2.96300000 +1
  N     1.97500000 +1   3.59700000 +1   2.32700000 +1
  H     1.35300000 +1   4.21900000 +1   1.84000000 +1
  H     1.98800000 +1   3.58400000 +1   3.34900000 +1

 
